,eng,gt,gtdnetcnn
0,»,-,-
1,250 TRAVELS OF,250 TRAVELS OF,250 TRAVELS OF
2,Corycium™* vidiffe fenem: cui pauca relifii,Corycium * vidisse senem : cui pauca relicli,Corycium * vidiffe senem : cui pauca relifli
3,"Fugera ruris erant ; nec fertilis illajuvencis,","Jugera ruris erant ; nec fertilis illa juvencis,","Jugera ruris erant ; nec fertilis illa juvencis,"
4,"Nec pecori opportuna feges, nec commoda Bacche,","Nec pecori opportuna seges, nec commoda Baccho,","Nec pecori opportuna feges, nec commoda Baccho,"
5,"Hic rarum tamen in dumis olus, albaque circum","Hic rarum tamen in dumis olus, albaque circum","Hic rarum tamen in dumis olus, albaque circum"
6,"Liha, verbenafque premens, vefcumque papaver,","Lilia, verbenasque premens, vescumque papaver,","Lilia, verbenasque premens, vefcumque papaver,"
7,Regum aquabat opes animis ; feraque revertens,Regum aequabat opes animis ; seraque revertens,Regum aquabat opes animis ; seraque revertens
8,"Noéte domum, dapibus menfas onerabat inemptis.","Nocte domum, dapibus mensas onerabat inemptis.","Nocte domum, dapibus mensas onerabat inemptis."
9,Primus vere rofam atque auumno carpere poma 3,Primus vere rosam atque auctumno carpere poma ;,Primus vere rofam atque auchumno carpere poma ;
10,Et quum triftis hiems etiamnum frigore faxa,Et quum tristis hiems etiamnum frigore saxa,Et quum triftis hiems etiamnum frigore faxa
11,"Rumperet, et glacie curfus frenaret aquarum,","Rumperet, et glacie cursus frenaret aquarum,","Rumperet, et glacie cursus frenaret aquarum,"
12,"Ile comam mollis jam tondebat hyacintbi,","Ille comam mollis jam tondebat hyacinthi, ","lle comam mollis jam tondebat hyacinth, i"
13,Fflatem increpitans feram Zephyrofque morantes.,"AEstatem increpitans seram Zephyrosque morantes,","AEftatem increpitans feram Zephyrosque morantes,"
14,Ergo apibus foetis idem atque examine multo,Ergo apibus faetis idem atque examine multo,Evgo apibus fotis idem atque examine multo
15,"Primus abundare, et [pumantia cogere preffis","Primus abundare, et spumantia cogere pressis","Primus abundare, et fpumantia cogere presfis"
16,Mella favis; illi tilie atque uberrima pinus;,Mella favis; illi tiliae atque uberrima pinus;,Mella favis; illi tilia atque uberrima pinus;
17,Quotque in flore novo pomis fe fertilis arbos,Luotque in flore novo pomis se fertilis arbos,Quotque in flore novo pomis fe Jertilis arbos
18,"Induerat, totidem auffumno matura tenebat.","Induerat, totidem auctumno matura tenebat.","Induerat, totidem auftumno matura tenebat.,"
19,"Hle etiam feras in verfum diftulit ulmos,","Ille etiam seras in versum distulit ulmos,","Wie etiam feras in versum diftulit ulmos,"
20,"Eduramque pirum, et fpinos jam pruna ferentes,","Eduramque pirum, et spinos jam pruna ferentes,","Eduramque pirum, et spinos jam pruna ferentes,"
21,", Famque minifirantem platanum potantibus umbras.",Jamque ministrantem platanum potantibus umbras.,; Jamque miniftrantem platanum potantibus umbras.
22,Vine. Georg. iv. 124«,Virg. Georg. IV. 125.,Vir. Georg. iv. 125.
23,"For where, with ftately tow’rs, Tarentum ftands,","For where, with stately tow’rs, Tarentum stands,","For where, with stately tow’rs, Tarentum stands,"
24,"And deep Galefus foaks the yellow fands,","And deep Galesus soaks the yellow sands,","And deep Galesus soaks the yellow sands,"
25,I chane’d an old Corycian fwain to know,I chanc’d an old Corycian swain to know,I chanc’d an old Corycian swain to know
26,"Lord of few acres, and thofe barren too:","Lord of few acres, and those barren too:","Lord of few acres, and those barren too:"
27,"Unfit for fheep, or vines, and more unfit to, fow :","Unfit for sheep, or vines, and more unfit to sow :","Unsit for sheep, or vines, and more unsit to sow :"
28,"Yet lab’ring well his little fpot of ground,","Yet lab’ring well his little spot of ground,","Yet lab’ring well his little spot of ground,"
29,Some feattering potherbs here and there he found ;,Some scattering potherbs here and there he found :,Some scattering potherbs here and there he found :
30,"Ocbalia, after an ancient King of Sparta, Oebalus, the","Oebalia, after an ancient King of Sparta, Oebalus, the","Oebalia, after an ancient King of Sparta, Ocbalus, the"
31,father of Tyndarus. ;,father of Tyndarus.,father of Tyndarus.
32,"* Corycus, a promontory of Cilicia. Pompey granted","* Corycus, a promontory of Cilicia. Pompey granted","* Corycus, a promontory of Cilicia. Pompey granted"
33,"lands in Italy, on this coaft, to the conquered pirates of","lands in Italy, on this coast, to the conquered pirates of","lands in Italy, on this coast, to the conquered pirates of"
34,Afia Minor. See the remarks of Vofs.,Asia Minor. See the remarks of Vose.,Asia Minor. See the remarks of Vose.
35,"6 Which,","6 Which,","6 Which,"
36,94 TRAVELS OF,94 TRAVELS OF,04 TRAVELS OF
37,"they are more remarkable than thofe of Rome,","they are more remarkable than those of Rome,","they are more remarkable than those of Rome,"
38,notwith{tanding that they are not fo great in,notwithstanding that they are not so great in,notwithstanding that they are not so great in
39,their circumference. ‘The enigma concerning,their circumference. The enigma concerning,their circumference. The enigma concerning
40,thefe catacombs would not have been equally,these catacombs would not have been equally,these catacombs would not have been equally
41,"difficult, had thofe who made the inquiry","difficult, had those who made the inquiry","difficult, had those who made the inquiry"
42,been pleafed to prefer the probable to the mira,been pleased to prefer the probable to the mira-,been pleased to prefer the probable to the mira-
43,culous: ‘or reafonable conjeGture to abfurd,culous: or reasonable conjecture to absurd,culous: or reasonable conjecture to absurd
44,hypothefis.,hypothesis.,hypothesis.
45,One fable clings to-another; like the bats,One fable clings to another; like the bats,One fable clings to another; like the bats
46,"of Homer, that, in long rows, hang one by the","of Homer, that, in long rows, hang one by the","of Homer, that, in long rows, hang one by the"
47,"other from the rocks, and, as foon as one quits","other from the rocks, and, as soon as one quits","other from the rocks, and, as soon as one quits"
48,"his hold, the reft all fly, hiffimg, into their","his hold, the rest all fly, hissing, into their","his hold, the rest all fly, hissing, into their"
49,holes.,holes.,holes.
50,A mifconception of a paflage of this great,A misconception of a passage of this great,A misconception of a passage of this great
51,"poet, and the paflage which perhaps would","poet, and the passage which perhaps would","poet, and the passage which perhaps would"
52,"leaft lead to mifconception, gave rife to the","least lead to misconception, gave rise to the","least lead to misconception, gave rise to the"
53,fable of the caverns inhabited by the Cimmerii.,fable of the caverns inhabited by the Cimmerii.,fable of the caverns inhabited by the Cimmerii.
54,"Homer tells us that the empire of Death, and","Homer tells us that the empire of Death, and","Homer tells us that the empire of Death, and"
55,"the cells of the Cimmerii, were at the utmoft","the cells of the Cimmerii, were at the utmost","the cells of the Cimmerii, were at the utmost"
56,bounds of the deep ftreaming ocean.,bounds of the deep streaming ocean.,bounds of the deep streaniing ocean.
57,COUNT STOLBERG. 241,COUNT STOLBERG. 241,COUNT STOLBERG. 241
58,"funds, This is the only place in the Medi-",stands. This is the only place in the Medi-,stands. This is the only place in the Medi-
59,"terranean fea where regularly, and indubita-","terranean sea where regularly, and indubita-","terranean sea where regularly, and indubita-"
60,"bly, every fix hours, the tide is obferved to","bly, every six hours, the tide is observed to","bly, every six hours, the tide is observed to"
61,ébb and flow *. The Mare Piccolo lies to the,ebb and flow *. The Mare Piccolo lies to the,ebb and flow *. The Mare Piccolo lies to the
62,aft and the north of the town; and the bay,east and the north of the town; and the bay,east and the north of the town; and the bay
63,of Taranto to the weft and the fouth. The,of Taranto to the west and the south. The,of Taranto to the west and the south. The
64,ancient town extended far toward the fouth ;,ancient town extended far toward the south ;,ancient town extended far toward the south ;
65,"and the whole Mare Piccolo, which is more","and the whole Mare Piccolo, which is more","and the whole Mare Piccolo, which is more"
66,"than two German miles in circumference,","than two German miles in circumference,","than two German miles in circumference,"
67,ferved it as a haven.,served it as a haven.,served it as a haven.
68,"The Archbifhop of Taranto, a Neigolitin","The Archbishop of Taranto, a Neapolitan","The Archbishop of Taranto, a Neapolitin"
69,"of the noble family of Capece-Latro, had the","of the noble family of Capece-Latro, had the","of the noble family of Capece-Latro, had the"
70,"kindnefs to invite us.on the 8th, the morn-","kindness to invite us on the 8th, the morn-","kindness to invite us on the 8th, the morn-"
71,"ing of the day after our arrival, to his palaces","ing of the day after our arrival, to his palace.","ing of the day after our arrival, to his palaces"
72,"* In the time of Ferdinand the Firft, of Arragon,","* In the time of Ferdinand the Fitst, of Arragon,","* In the time of Ferdinand the Fith, of Arragon,"
73,"Taranto was a peninfula ; ; but, after Mahomet the Se-","Taranto was a peninsula; but, after Mahomet the Se-","Taranto was a peninsula; ; but, after Mahomet the Se-"
74,"cond, in the year 1480, had taken Otranto, and it was","cond, in the year 1480, had taken Otranto, and it was","cond, in the year 1480, had taken Otranto, and it was"
75,prefumed that he would arrive with his fleet at Taranto;,"presumed that he would arrive with his fleet at Taranto,",presumed that he would arrive with his fleet at Taranto;
76,Ferdinand commanded that the cape fhouldbe cut through:,Ferdinand commanded that the cape should be cut through.,Ferdinand commanded that the cape shouldbe cut throughs
77,"The work was continued by his fon, Alphonfus; and","The work was continued by his son, Alphonsus ; and","The work was continued by his fon, Alphonsus ; and"
78,"Philip the Second, fon of Charles the Fifth, commanded","Philip the Second, son of Charles the Fifth, commanded","Philip the Second, son of Charles the Fifth, commanded"
79,"the canal to be widened, and rendered navigable. In","the canal to be widened, and rendered navigable. In","the canal to be widened, and rendered navigable. In"
80,"procefs of time, it became dammed up; and the air was","process of time, it became dammed up; and the air was","process of time, it became dammed up; and the air was"
81,"thus rendered very unhealthy : but Don Carlos, the father","thus rendered very unhealthy : but Don Carlos, the father","thus rendered very unhealthy : but Don Catlos, the father"
82,"of the reigning King, that Don Carlos to whom the","of the reigning King, that Don Carlos to whom the","of the reigning King, that Don Carlos to whom the"
83,"Two, Sicilies are fo much indebted, in 1755, with the","Two Sicilies are so much indebted, in 1755, with the","Two Sicilies are so much indebted, in 1755, with the"
84,labour of three years once rnore opened it ; and fince that,labour of three years once more opened it; and since that,labour of three years once more opened it; and since that
85,"time the air of Tatanto is not only healthy but balfamic,",time the air of Tatanto is not only healthy but balsamic.,time the air of Tatanto is not only healthy but balsamic.
86,Vide Delicie Tarentine.,Vide Deliciae Tarentine.,Vide Delicie Tarentine.
87,"Von; TI, , R He",VoL. III.,"Vor. I, R He"
88,CITY of AUGSBURG.,CITY of AUGSBURG.,CITY of AUGSBURG.
89,nageable only by two men: it faves the trouble and danger they had,nageable only by two men: it saves the trouble and danger they had,nageable only by two men: it saves the trouble and danger they had
90,formerly of opening the city gates at night for travellers or couriers; and,formerly of opening the city gates at night for travellers or couriers; and,formerly of opening the city gates at night for travellers or couriers; and
91,"may be made fo, that many at once either horfe or foot may come into","may be made so, that many at once either horse or foot may come into","may be made so, that many at once either horse or foot may come into"
92,the city as well as a fingle perfon. To this end a bridge goes up and,the city as well as a single person. To this end a bridge goes up and,the city as well as a single person. To this end a bridge goes up and
93,"down, and as often as one gate fhuts, another opens with a great noife,","down, and as often as one gate shuts, another opens with a great noise;","down, and as often as one gate shuts, another opens with a great noise;"
94,and nothing can be better contrived for fecurity and conveniency.,and nothing can be better contrived for security and conveniency.,and nothing can be better contrived for security and conveniency.
95,"Another thing worth feeing is the engine, which by means of twenty-","Another thing worth seeing is the engine, which by means of twenty-","Another thing worth seeing is the engine, which by means of twenty-"
96,eight {prings (of which one is brafs) the water is raifed up to three tow-,eight springs (of which one is brass) the water is raised up to three tow-,eight springs (of which one is brass) the water is raised up to three tow-
97,"ers. The fpring-water is brought hither from fome diftance, but the","ers. The spring-water is brought hither from some distance, but the","ers. The spring-water is brought hither from some distance, but the"
98,engine itfelf is worked by the Lecke. From thefe three towers the water,engine itself is worked by the Lecke. From these three towers the water,engine itself is worked by the Lecke. From these three towers the water
99,is conveyed to the houfe of every burgher for thirteen guilders a year.,is conveyed to the house of every burgher for thirteen guilders a year.,is conveyed to the house of every burgher for thirteen guilders a year.
100,"In one of the towers are painted a wild boar and a roe-buck, the former","In one of the towers are painted a wild boar and a roe-buck, the former","In one of the towers are painted a wild boar and a roe-buck, the former"
101,"of which in 1503, and the latter in 1592, were brought into the city","of which in 1503, and the latter in 1592, were brought into the city","of which in 1503, and the latter in 1592, were brought into the city"
102,by the force of the water. This city alfo is not without fine gardens;,by the force of the water. This city also is not without fine gardens;,by the force of the water. This city also is not without fine gardens;
103,"among which, that of Rawner is diftinguifhed for its extent and build-","among which, that of Rauner is distinguished for its extent and build-","among which, that of Rauner is distinguished for its extent and build-"
104,"ings, as that of Rad for its profpect and labyrinth.","ings, as that of Rad for its prospect and labyrinth.","ings, as that of Rad for its prospect and labyrinth."
105,"In the Gulman gardens are fome water-works and fine fhady walks,","In the Gulman gardens are some water-works and fine shady walks,","In the Gulman gardens are some water-works and fine shady walks,"
106,which render it an agreeable retreat in the f{ummer heats. But in water-,which render it an agreeable retreat in the summer heats. But in water-,which render it an agreeable retreat in the summer heats. But in water-
